Ship Mode,Segment,Category,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
100,Second Class,Corporate,Office Supplies,8.784,3,0.4,-4.836,0.32,Medium
101,First Class,Home Office,Furniture,1037.7096,8,0.27,298.5096,202.94,Medium
102,Standard Class,Corporate,Furniture,1029.375,5,0.5,-247.125,141.5,High
103,Second Class,Home Office,Office Supplies,1503.25,5,0.0,496.0725,120.84,Medium
104,Standard Class,Consumer,Technology,881.93,7,0.0,229.3018,112.32,High
105,Second Class,Home Office,Furniture,2001.86,7,0.0,580.5394,81.39,Medium
106,Second Class,Corporate,Technology,805.56,14,0.0,185.22,80.12,Medium
107,Standard Class,Corporate,Furniture,482.48,2,0.0,130.24,66.7,High
108,Second Class,Corporate,Technology,449.64,4,0.0,58.44,64.21,Medium
109,Standard Class,Corporate,Technology,389.48,7,0.0,23.24,40.18,Medium
110,Second Class,Corporate,Office Supplies,512.19,9,0.0,209.79,36.17,Medium
111,First Class,Home Office,Technology,222.56,2,0.0,109.04,34.93,High
112,Same Day,Home Office,Office Supplies,90.3,5,0.0,31.6,27.41,Critical
113,Standard Class,Corporate,Technology,211.803,2,0.15,69.723,23.66,High
114,Same Day,Consumer,Office Supplies,109.104,2,0.6,-106.416,17.97,Critical
115,Standard Class,Consumer,Office Supplies,140.4,6,0.0,8.28,16.57,High
116,First Class,Corporate,Technology,50.8,2,0.0,22.32,15.18,Critical
117,Standard Class,Home Office,Office Supplies,289.2,6,0.0,83.868,14.33,Medium
118,Standard Class,Home Office,Office Supplies,102.54,2,0.0,35.88,13.91,High
119,Standard Class,Corporate,Office Supplies,138.56,4,0.0,66.5088,11.26,Medium
120,First Class,Consumer,Office Supplies,58.104,2,0.4,6.744,10.37,Critical
121,Standard Class,Consumer,Office Supplies,57.6,2,0.0,25.92,8.58,High
122,Second Class,Home Office,Office Supplies,166.72,2,0.0,41.68,8.11,Medium
123,Standard Class,Consumer,Technology,58.83,1,0.0,6.45,7.4,High
124,Standard Class,Consumer,Office Supplies,48.48,1,0.0,6.3,6.03,High
125,Standard Class,Corporate,Office Supplies,65.52,5,0.1,12.376,5.8,Medium
126,First Class,Home Office,Furniture,214.3791,3,0.27,35.1891,5.64,Medium
127,Second Class,Home Office,Office Supplies,47.88,6,0.0,23.94,4.27,Medium
128,Standard Class,Corporate,Office Supplies,62.7,5,0.0,9.9,4.18,Medium
129,Same Day,Consumer,Office Supplies,12.72,4,0.6,-18.48,3.99,Critical
130,Same Day,Consumer,Office Supplies,10.116,1,0.6,-10.644,3.8,Critical
131,Same Day,Consumer,Office Supplies,20.712,1,0.6,-11.928,3.49,Critical
132,Standard Class,Corporate,Office Supplies,27.99,2,0.5,-9.57,3.2,High
133,Standard Class,Consumer,Furniture,22.2,6,0.0,9.102,2.68,High
134,Second Class,Home Office,Office Supplies,25.92,4,0.0,12.4416,2.51,Medium
135,Standard Class,Corporate,Office Supplies,25.23,1,0.5,-5.58,1.97,High
136,First Class,Corporate,Office Supplies,22.14,2,0.0,6.84,1.62,Medium
137,Second Class,Consumer,Office Supplies,21.18,2,0.0,5.88,1.56,Medium
138,Standard Class,Home Office,Office Supplies,45.48,3,0.0,20.9208,1.35,Medium
139,Second Class,Consumer,Office Supplies,10.86,1,0.0,4.32,0.74,Medium
140,Standard Class,Consumer,Office Supplies,6.99,1,0.0,3.42,0.68,High
141,Second Class,Home Office,Furniture,1888.236,6,0.3,-161.964,162.45,High
142,Standard Class,Corporate,Technology,575.92,2,0.2,71.99,93.1,High
143,Second Class,Home Office,Furniture,622.86,2,0.3,-62.34,91.18,High
144,First Class,Corporate,Office Supplies,138.82,11,0.0,56.76,30.89,Critical
145,First Class,Corporate,Furniture,463.44,4,0.0,120.48,30.14,Critical
146,First Class,Corporate,Office Supplies,61.84,2,0.0,8.0,16.06,Critical
147,First Class,Consumer,Office Supplies,34.02,2,0.0,14.28,11.12,High
148,First Class,Corporate,Furniture,29.268,2,0.7,-55.632,10.35,Critical
149,Second Class,Corporate,Office Supplies,19.92,5,0.2,6.972,1.44,Medium
150,First Class,Corporate,Office Supplies,5.148,2,0.7,-9.312,1.19,Critical
151,Standard Class,Corporate,Office Supplies,5.184,6,0.7,-3.6288,0.69,High
152,First Class,Consumer,Technology,1157.58,6,0.0,254.52,184.92,High
153,First Class,Consumer,Technology,516.96,3,0.0,165.42,133.56,High
154,Standard Class,Consumer,Furniture,1503.744,8,0.6,-1842.096,126.17,High
155,Standard Class,Consumer,Furniture,922.86,2,0.0,9.18,69.1,Medium
156,Standard Class,Consumer,Furniture,270.378,3,0.1,75.078,26.31,Low
157,Second Class,Home Office,Technology,217.2,5,0.0,21.6,25.25,High
158,Standard Class,Consumer,Office Supplies,248.64,4,0.0,19.8,24.81,High
159,First Class,Consumer,Office Supplies,99.48,2,0.0,23.82,22.71,High
160,Standard Class,Consumer,Office Supplies,279.21,1,0.0,0.0,16.58,High
161,Second Class,Home Office,Office Supplies,99.252,2,0.1,9.912,15.5,High
162,Second Class,Corporate,Office Supplies,40.158,2,0.7,-89.742,11.29,Critical
163,Second Class,Home Office,Office Supplies,80.43,7,0.0,0.63,11.28,High
164,First Class,Consumer,Office Supplies,52.47,3,0.0,11.52,10.31,High
165,Standard Class,Consumer,Furniture,253.3635,1,0.35,-35.0865,10.0,Medium
166,Standard Class,Consumer,Office Supplies,196.02,6,0.0,90.0,9.99,Medium
167,Second Class,Home Office,Office Supplies,53.4,2,0.0,14.94,8.6,High
168,Standard Class,Consumer,Office Supplies,90.234,6,0.7,-147.546,8.11,Medium
169,Second Class,Corporate,Office Supplies,38.367,1,0.7,-74.193,8.04,Critical
170,Standard Class,Consumer,Furniture,85.02,2,0.0,13.56,7.64,High
171,Standard Class,Consumer,Technology,102.762,4,0.45,1.842,7.42,Medium
172,Standard Class,Corporate,Office Supplies,78.304,2,0.2,29.364,7.09,Medium
173,Standard Class,Corporate,Office Supplies,62.92,1,0.2,10.2245,5.62,Medium
174,Standard Class,Consumer,Office Supplies,40.704,4,0.6,-51.936,5.39,High
175,Standard Class,Corporate,Furniture,44.128,4,0.2,12.1352,4.31,Medium
176,Standard Class,Corporate,Technology,44.088,1,0.6,-46.302,4.17,Medium
177,First Class,Consumer,Office Supplies,19.752,3,0.2,6.9132,3.23,High
178,Standard Class,Consumer,Office Supplies,24.0,2,0.0,0.96,2.39,High
179,Second Class,Corporate,Office Supplies,8.973,1,0.7,-8.997,2.07,Critical
180,Standard Class,Consumer,Office Supplies,24.651,3,0.45,-19.359,1.94,Medium
181,Standard Class,Corporate,Office Supplies,13.26,1,0.0,6.09,1.26,Medium
182,Second Class,Corporate,Office Supplies,3.321,1,0.7,-4.329,1.14,Critical
183,Standard Class,Consumer,Office Supplies,13.38,1,0.0,3.21,1.11,Medium
184,Standard Class,Consumer,Office Supplies,11.73,1,0.0,5.37,1.08,Medium
185,Standard Class,Corporate,Technology,16.116,1,0.6,-19.344,0.97,High
186,Standard Class,Corporate,Office Supplies,17.544,3,0.2,5.9211,0.93,Medium
187,Standard Class,Corporate,Office Supplies,13.14,2,0.0,5.22,0.83,Medium
188,Standard Class,Consumer,Office Supplies,10.416,1,0.6,-6.774,0.81,High
189,Standard Class,Home Office,Office Supplies,5.68,2,0.2,1.917,0.77,High
190,Standard Class,Consumer,Office Supplies,7.884,1,0.6,-10.656,0.72,High
191,Second Class,Corporate,Office Supplies,1.602,1,0.7,-1.578,0.25,Critical
192,Standard Class,Consumer,Office Supplies,1429.05,7,0.0,371.49,194.36,High
193,Second Class,Consumer,Technology,1232.88,4,0.0,135.6,150.43,Medium
194,Standard Class,Consumer,Office Supplies,767.52,6,0.0,45.9,102.29,High
195,Standard Class,Consumer,Technology,1100.16,6,0.0,175.86,92.07,High
196,First Class,Consumer,Office Supplies,182.88,9,0.0,3.6,44.76,High
197,Standard Class,Consumer,Furniture,473.61,1,0.0,142.08,42.96,High
198,First Class,Corporate,Office Supplies,243.0,4,0.0,119.04,41.83,Critical
199,Standard Class,Consumer,Technology,357.0,3,0.0,57.12,31.59,High
200,Second Class,Corporate,Technology,137.94,1,0.0,6.87,17.43,Medium
201,Second Class,Home Office,Furniture,348.36,2,0.4,5.8,16.6,Medium
202,Second Class,Home Office,Furniture,185.568,1,0.4,-6.192,15.67,Medium
203,Standard Class,Consumer,Furniture,87.9,2,0.0,21.96,15.25,High
204,Standard Class,Corporate,Office Supplies,125.22,3,0.0,40.02,11.55,Medium
205,Standard Class,Corporate,Office Supplies,77.5,5,0.0,3.8,10.55,High
206,First Class,Consumer,Office Supplies,31.104,6,0.2,10.8864,9.9,High
207,Standard Class,Home Office,Office Supplies,100.68,2,0.0,6.0,7.53,Medium
208,Standard Class,Corporate,Office Supplies,44.28,3,0.0,0.42,4.64,High
209,First Class,Consumer,Office Supplies,64.35,3,0.45,-32.76,3.1,High
210,Standard Class,Home Office,Office Supplies,37.08,4,0.0,16.2,2.88,Medium
211,First Class,Home Office,Office Supplies,60.54,2,0.0,20.58,2.51,Medium
212,Standard Class,Consumer,Office Supplies,24.0,1,0.0,2.88,2.51,High
213,Standard Class,Consumer,Office Supplies,23.744,2,0.2,8.3104,2.37,High
214,Second Class,Consumer,Office Supplies,53.94,3,0.0,15.6426,1.8,High
215,Standard Class,Corporate,Office Supplies,19.3,1,0.0,3.66,1.54,Medium
216,Second Class,Corporate,Office Supplies,21.42,3,0.0,5.31,1.27,Medium
217,Second Class,Corporate,Office Supplies,18.24,4,0.0,6.48,1.02,Medium
218,First Class,Consumer,Office Supplies,3.648,3,0.8,-6.0192,0.7,High
219,Standard Class,Corporate,Technology,1016.64,4,0.0,406.56,93.04,High
220,Standard Class,Consumer,Technology,231.97512,2,0.002,43.69512,17.81,High
221,Standard Class,Consumer,Office Supplies,103.56,2,0.0,18.6,14.05,Low
222,Standard Class,Consumer,Office Supplies,104.76,6,0.0,3.06,13.17,High
223,Standard Class,Corporate,Office Supplies,66.42,1,0.0,0.66,5.85,High
224,Standard Class,Corporate,Office Supplies,52.332,7,0.4,-34.048,3.74,Medium
225,Standard Class,Consumer,Office Supplies,22.0,2,0.0,3.08,2.72,High
226,Standard Class,Corporate,Office Supplies,12.9,2,0.0,4.98,1.95,High
227,Standard Class,Consumer,Office Supplies,8.91,1,0.0,1.59,0.99,High
228,Standard Class,Home Office,Office Supplies,4.71,1,0.0,0.0,0.63,High
229,Standard Class,Consumer,Technology,1983.968,4,0.2,247.996,235.13,Medium
230,Same Day,Consumer,Technology,743.13,3,0.0,230.31,159.19,High
231,Second Class,Consumer,Technology,1592.7,5,0.0,652.95,144.5,Medium
232,First Class,Home Office,Technology,1549.98,6,0.0,139.32,112.63,Medium
233,First Class,Consumer,Office Supplies,283.26,4,0.5,-181.38,83.34,Critical
234,Second Class,Consumer,Technology,527.16,2,0.0,131.76,82.29,Medium
235,First Class,Home Office,Office Supplies,593.64,12,0.0,94.68,67.09,Medium
236,Standard Class,Consumer,Office Supplies,770.22,10,0.4,38.22,63.67,Medium
237,Standard Class,Corporate,Technology,978.84,9,0.2,110.1195,56.8,Medium
238,Standard Class,Consumer,Office Supplies,443.92,5,0.2,-94.333,54.44,High
239,Standard Class,Corporate,Furniture,388.608,2,0.2,29.128,53.93,High
240,First Class,Consumer,Office Supplies,196.8,8,0.5,-66.96,53.65,Critical
241,Standard Class,Consumer,Furniture,677.4,4,0.0,60.96,51.03,Medium
242,Standard Class,Consumer,Office Supplies,928.8,5,0.1,361.2,50.61,Medium
243,First Class,Consumer,Office Supplies,121.575,5,0.5,-92.475,49.1,Critical
244,First Class,Consumer,Office Supplies,519.525,5,0.5,-394.875,46.41,Critical
245,First Class,Home Office,Technology,253.98256,2,0.402,-128.29744,43.66,Medium
246,Second Class,Corporate,Technology,200.394,6,0.1,11.034,37.24,High
247,Standard Class,Consumer,Technology,588.6,4,0.0,276.6,33.89,Medium
248,First Class,Consumer,Office Supplies,142.44,4,0.5,-25.68,30.95,Critical
249,Standard Class,Consumer,Office Supplies,533.94,3,0.0,154.8426,29.73,Medium
250,First Class,Consumer,Office Supplies,82.62,9,0.5,-29.97,28.34,Critical
251,Second Class,Consumer,Technology,266.91,1,0.0,2.64,26.26,Medium
252,Standard Class,Consumer,Furniture,323.46,6,0.0,138.96,22.45,High
253,Standard Class,Consumer,Office Supplies,494.316,6,0.4,-0.144,22.04,Medium
254,Standard Class,Consumer,Office Supplies,367.524,2,0.1,-16.356,21.79,Medium
255,Standard Class,Consumer,Office Supplies,255.45,5,0.0,28.05,16.86,High
256,Second Class,Consumer,Office Supplies,128.43,1,0.0,1.26,15.87,Medium
257,First Class,Consumer,Furniture,98.592,2,0.2,22.152,15.39,Critical
258,Same Day,Consumer,Office Supplies,131.94,3,0.0,10.53,12.58,High
259,Standard Class,Consumer,Office Supplies,144.27,3,0.0,12.96,11.93,Medium
260,Standard Class,Consumer,Office Supplies,160.65,5,0.0,80.25,11.85,Medium
261,First Class,Consumer,Office Supplies,48.93,2,0.5,-5.91,11.64,Critical
262,Standard Class,Consumer,Office Supplies,112.212,4,0.1,4.932,11.42,High
263,Standard Class,Consumer,Office Supplies,147.96,3,0.0,35.46,10.8,Medium
264,Standard Class,Corporate,Office Supplies,76.12,2,0.0,22.0748,9.65,High
265,Standard Class,Consumer,Technology,125.37,3,0.0,0.0,9.25,Medium
266,Standard Class,Home Office,Technology,50.436,1,0.6,-54.234,8.41,High
267,Standard Class,Corporate,Office Supplies,69.52,2,0.0,19.4656,8.21,Low
268,Standard Class,Consumer,Furniture,94.128,3,0.2,-10.632,7.72,Medium
269,First Class,Corporate,Furniture,68.704,2,0.2,16.3172,7.45,Medium
270,Same Day,Consumer,Office Supplies,47.1,2,0.0,15.54,6.71,High
271,Standard Class,Corporate,Office Supplies,37.32,2,0.0,4.84,6.4,High
272,Standard Class,Consumer,Office Supplies,87.264,2,0.1,2.904,6.26,Medium
273,Second Class,Corporate,Technology,46.41,1,0.0,23.19,6.08,High
274,First Class,Consumer,Technology,47.43,2,0.5,-14.25,4.63,Critical
275,Standard Class,Consumer,Office Supplies,87.48,3,0.0,25.29,4.47,Medium
276,Standard Class,Consumer,Office Supplies,137.25,5,0.0,38.4,4.17,Medium
277,Second Class,Home Office,Office Supplies,18.768,2,0.6,-12.252,3.98,Medium
278,First Class,Home Office,Office Supplies,49.344,2,0.4,-23.856,3.96,Medium
279,Standard Class,Corporate,Office Supplies,47.808,12,0.2,15.5376,3.79,Medium
280,Standard Class,Consumer,Technology,155.976,3,0.2,54.5916,3.74,High
281,Standard Class,Home Office,Technology,32.508,1,0.6,-8.142,3.56,High
282,First Class,Consumer,Office Supplies,10.5,2,0.5,-8.22,3.53,Critical
283,Standard Class,Consumer,Office Supplies,28.62,6,0.0,12.24,3.24,Medium
284,First Class,Home Office,Office Supplies,28.62,6,0.0,12.24,2.91,Medium
285,Standard Class,Consumer,Office Supplies,167.94,3,0.0,82.2906,2.83,Medium
286,First Class,Home Office,Office Supplies,33.18,7,0.4,4.34,2.81,Medium
287,Standard Class,Home Office,Office Supplies,44.4,3,0.0,22.2,2.77,Medium
288,First Class,Consumer,Office Supplies,8.84,2,0.0,4.24,2.22,High
289,Standard Class,Consumer,Office Supplies,43.176,3,0.2,4.3176,2.12,Medium
290,Standard Class,Corporate,Office Supplies,33.18,2,0.0,4.92,1.96,Medium
291,Standard Class,Corporate,Office Supplies,28.23,1,0.0,0.0,1.94,Medium
292,Standard Class,Consumer,Furniture,31.68,6,0.0,9.8208,1.9,Medium
293,Standard Class,Corporate,Office Supplies,15.696,3,0.2,5.1012,1.82,Low
294,Standard Class,Corporate,Office Supplies,15.75,1,0.0,1.71,1.64,Medium
295,First Class,Corporate,Office Supplies,22.428,3,0.7,-17.9424,1.52,Medium
296,Standard Class,Consumer,Office Supplies,23.64,3,0.0,3.06,1.51,Medium
297,Standard Class,Home Office,Office Supplies,11.664,1,0.6,-9.066,1.25,High
298,Standard Class,Home Office,Office Supplies,6.984,1,0.6,-9.966,1.23,High
299,Standard Class,Corporate,Office Supplies,10.272,3,0.2,0.8988,1.21,Medium
300,Standard Class,Home Office,Office Supplies,21.4,5,0.0,9.63,0.92,Medium
301,Standard Class,Corporate,Office Supplies,5.64,3,0.0,1.6356,0.75,Low
302,Standard Class,Home Office,Office Supplies,3.936,1,0.6,-4.254,0.54,High
303,Standard Class,Corporate,Office Supplies,7.52,5,0.2,1.41,0.33,Medium
304,First Class,Corporate,Office Supplies,3.132,2,0.7,-2.61,0.1,Medium
305,First Class,Consumer,Furniture,2807.84,8,0.0,673.8816,487.15,High
306,Standard Class,Home Office,Technology,1795.92,7,0.0,843.99,154.61,High
307,Second Class,Consumer,Furniture,909.72,6,0.3,-51.984,133.2,Medium
308,Second Class,Corporate,Furniture,674.058,3,0.3,-19.2588,123.32,Critical
309,Standard Class,Corporate,Furniture,1181.016,4,0.4,-334.704,86.99,Medium
310,Second Class,Home Office,Technology,1894.05,5,0.0,700.65,80.49,High
311,First Class,Corporate,Office Supplies,180.075,7,0.5,-90.195,69.75,Critical
312,First Class,Consumer,Technology,271.9,2,0.0,78.851,62.54,High
313,Second Class,Consumer,Technology,659.988,2,0.4,109.998,60.3,Medium
314,First Class,Consumer,Furniture,219.78,2,0.0,59.34,36.24,Critical
315,Standard Class,Consumer,Furniture,491.0,5,0.0,122.7,35.15,Medium
316,Standard Class,Consumer,Office Supplies,392.445,9,0.1,-43.605,29.72,Medium
317,Second Class,Home Office,Office Supplies,111.888,2,0.1,-2.532,15.6,High
318,Standard Class,Consumer,Technology,181.3266,2,0.37,28.7466,15.22,Medium
319,Standard Class,Home Office,Office Supplies,173.61,9,0.0,10.26,13.58,Medium
320,Second Class,Consumer,Furniture,103.38,2,0.0,40.26,12.99,Medium
321,Standard Class,Consumer,Furniture,583.8,7,0.0,186.76,12.32,Medium
322,Standard Class,Consumer,Furniture,220.08,3,0.0,50.58,12.28,Medium
323,Second Class,Consumer,Office Supplies,102.33,9,0.0,51.03,11.04,Medium
324,First Class,Consumer,Office Supplies,46.64,4,0.0,12.5928,8.88,High
325,Same Day,Home Office,Office Supplies,58.32,1,0.0,25.65,8.76,High
326,Standard Class,Consumer,Furniture,117.66,3,0.0,12.9,8.64,Medium
327,Second Class,Consumer,Office Supplies,75.72,4,0.0,37.8,7.6,Medium
328,Standard Class,Consumer,Office Supplies,102.18,3,0.0,1.02,6.92,Medium
329,Standard Class,Consumer,Technology,76.62,3,0.0,21.42,5.92,Medium
330,First Class,Consumer,Office Supplies,26.49,1,0.0,4.74,5.91,Medium
331,First Class,Consumer,Furniture,45.84,3,0.0,15.5856,5.84,High
332,Standard Class,Consumer,Furniture,58.2,3,0.0,28.518,4.79,Medium
333,Standard Class,Consumer,Technology,95.968,4,0.2,9.5968,4.68,Medium
334,Standard Class,Corporate,Technology,64.824,2,0.4,-16.216,4.67,Medium
335,Standard Class,Consumer,Furniture,55.0128,4,0.27,12.7728,3.37,Medium
336,Standard Class,Consumer,Office Supplies,57.12,7,0.0,2.8,3.25,Medium
337,Second Class,Home Office,Office Supplies,25.272,6,0.7,-40.608,3.1,High
338,Second Class,Consumer,Office Supplies,29.61,1,0.0,10.65,2.6,Medium
339,Standard Class,Consumer,Office Supplies,38.68,2,0.0,11.2,2.25,Medium
340,Standard Class,Consumer,Office Supplies,27.32,2,0.0,8.44,1.97,Medium
341,Second Class,Consumer,Office Supplies,36.288,7,0.2,12.7008,1.83,Medium
342,Standard Class,Consumer,Furniture,28.48,1,0.0,7.12,1.76,Medium
343,Standard Class,Consumer,Office Supplies,44.1228,4,0.17,17.4828,1.71,Medium
344,Same Day,Home Office,Office Supplies,13.86,1,0.0,3.3,1.45,High
